tag,device,dtype,raw_min,raw_max,eng_min,eng_max,desc
FIQ_4001_T,%MD643,DWORD,0.0,1.0,0.0,10000000000.0,수산화나트륨 유량적산
T_WI101,%MD643,DWORD,0.0,1.0,0.0,10000000000.0,폐기물투입 총중량적산
DAY_T_W101,%MD644,DWORD,0.0,1000000000000.0,0.0,1000000000000.0,일중량 적산
MOP_01.FT001A_TOT,%MD10,DWORD,0.0,16000.0,0.0,1000000000000.0,WATER TANK A_FLOW
MOP_01.FT001B_TOT,%MD11,DWORD,0.0,16000.0,0.0,1000000000000.0,WATER TANK B_FLOW
MOP_01.FT002A_TOT,%MD12,DWORD,0.0,16000.0,0.0,1000000000000.0,CHELATE TANK A_FLOW
MOP_01.FT002B_TOT,%MD13,DWORD,0.0,16000.0,0.0,1000000000000.0,CHELATE TANK B_FLOW
TE201,%MW100,WORD,0.0,16000.0,0.0,1600.0,소각로내 온도
TE202,%MW101,WORD,0.0,16000.0,0.0,1600.0,소각로출구온도
TE301,%MW102,WORD,0.0,16000.0,0.0,1200.0,폐열보일러 출구온도
TE302,%MW103,WORD,0.0,16000.0,0.0,1200.0,공기예열기출구온도
TE303,%MW104,WORD,0.0,16000.0,0.0,500.0,증기복수기출구온도
TE402,%MW105,WORD,0.0,16000.0,0.0,500.0,반건식반응탑출구온도
TE407,%MW106,WORD,0.0,16000.0,0.0,1200.0,백필터출구온도
TE801,%MW107,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크온도
PT201,%MW108,WORD,0.0,16000.0,-100.0,100.0,소각로내 압력
PT301,%MW109,WORD,0.0,16000.0,0.0,35.0,폐열보일러 압력
PT401,%MW110,WORD,0.0,16000.0,0.0,15.0,공정수 압력
PDIT401,%MW111,WORD,0.0,16000.0,0.0,300.0,백필터차압
LT401,%MW112,WORD,0.0,16000.0,0.0,100.0,소석회수 공급탱크레벨
LT402,%MW113,WORD,0.0,16000.0,0.0,100.0,소석회수 저장탱크레벨
LT801,%MW114,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨
LT601,%MW115,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨
FIT301,%MW116,WORD,0.0,16000.0,0.0,25.0,보일러 급수 유량
FIT401,%MW117,WORD,0.0,16000.0,0.0,2000.0,공정수 공급 유량
LT318_PV,%MW118,WORD,0.0,16000.0,0.0,100.0,응측수 수위
FIT403,%MW119,WORD,0.0,16000.0,0.0,1500.0,소석회 공급 유량
FIT601,%MW120,WORD,0.0,16000.0,0.0,500.0,경유 공급 유량
FIT801,%MW121,WORD,0.0,16000.0,0.0,500.0,요소수 공급 유량
LT301,%MW122,WORD,0.0,16000.0,0.0,100.0,폐열보일러 수위레벨
LT303,%MW123,WORD,0.0,16000.0,0.0,100.0,보일러용수 공급탱크레벨
F315A_FBK,%MW124,WORD,0.0,16000.0,0.0,60.0,증기복수기 냉각송풍기 A
F315B_FBK,%MW125,WORD,0.0,16000.0,0.0,60.0,증기복수기 냉각송풍기 B
F425_FBK,%MW126,WORD,0.0,16000.0,0.0,60.0,활성탄정량공급 FEEDER 주파수
F420_FBK,%MW127,WORD,0.0,16000.0,0.0,60.0,분말소석회정량공급 FEEDER 주파수
P416A_FBK,%MW128,WORD,0.0,16000.0,0.0,60.0,소석회공급펌프A 주파수
P416B_FBK,%MW129,WORD,0.0,16000.0,0.0,60.0,소석회공급펌프B 주파수
F502_FBK,%MW130,WORD,0.0,16000.0,0.0,60.0,유인송풍기 인버터 FEED BACK 주파수
C101_FBK,%MW131,WORD,0.0,16000.0,0.0,60.0,투입콘베어 인버터 FEED BACK주파수
SOx,%MW132,WORD,0.0,16000.0,0.0,80.0,SOx
NOx,%MW133,WORD,0.0,16000.0,0.0,200.0,NOx
HCL,%MW134,WORD,0.0,16000.0,0.0,80.0,HCL
CO,%MW135,WORD,0.0,16000.0,0.0,150.0,CO
DUST,%MW136,WORD,0.0,16000.0,0.0,50.0,DUST
O2,%MW137,WORD,0.0,16000.0,0.0,25.0,O2
FLOW,%MW138,WORD,0.0,16000.0,0.0,9525.0,FLOW
TEMP,%MW139,WORD,0.0,16000.0,0.0,300.0,TEMP
C201_FBK,%MW140,WORD,0.0,16000.0,0.0,60.0,야간투입콘베어 인버터 FEEDBACK 주파수
WT101,%MW141,WORD,0.0,16000.0,0.0,500.0,투입구 폐기물 중량
PT402,%MW142,WORD,0.0,16000.0,0.0,10.0,소석회슬러리 압력
CUR_C208_PV,%MW143,WORD,0.0,16000.0,0.0,20.0,재배출콘베어 전류
TE304,%MW144,WORD,0.0,16000.0,0.0,500.0,급수열교환기출구온도
TE3051,%MW145,WORD,0.0,16000.0,0.0,500.0,저압증기온도
P317A_FBK,%MW146,WORD,0.0,16000.0,0.0,60.0,보일러 급수펌프 #A 주파수
P317B_FBK,%MW147,WORD,0.0,16000.0,0.0,60.0,보일러 급수펌프 #B 주파수
MODE설정.O_F502_PV,%MW148,WORD,0.0,16000.0,0.0,60.0,UT35A
MODE설정.O_TCV301_PV,%MW149,WORD,0.0,16000.0,0.0,100.0,UT35A
MODE설정.O_PCV322_PV,%MW150,WORD,0.0,16000.0,0.0,100.0,UT35A
MODE설정.O_LCV322_PV,%MW151,WORD,0.0,16000.0,0.0,100.0,UT35A
MODE설정.O_TCV302_PV,%MW152,WORD,0.0,16000.0,0.0,100.0,UT35A
MODE설정.O_DP502_PV,%MW153,WORD,0.0,16000.0,0.0,100.0,UT35A
MODE설정.O_DP205_PV,%MW154,WORD,0.0,16000.0,0.0,100.0,UT35A
MODE설정.O_DP206_PV,%MW155,WORD,0.0,16000.0,0.0,100.0,UT35A
MODE설정.DP502_PV,%MW156,WORD,0.0,16000.0,0.0,100.0,I.D 송풍기 댐퍼
MODE설정.DP205_PV,%MW157,WORD,0.0,16000.0,0.0,100.0,1차압입송풍기 댐퍼
MODE설정.DP206_PV,%MW158,WORD,0.0,16000.0,0.0,100.0,2차압입송풍기 댐퍼
PIT322,%MW159,WORD,0.0,16000.0,0.0,10.0,탈기기 압력
LIT322,%MW160,WORD,0.0,16000.0,0.0,100.0,탈기기 수위
TE322,%MW161,WORD,0.0,16000.0,0.0,500.0,탈기기 온도
TE401,%MW162,WORD,0.0,16000.0,0.0,500.0,SDR호퍼 온도
PT403,%MW163,WORD,0.0,16000.0,0.0,10.0,SDR 상부 에어압력
FIT201_PV,%MW172,WORD,0.0,16000.0,0.0,35000.0,1차 압입송풍기 유량
FIT202_PV,%MW173,WORD,0.0,16000.0,0.0,25000.0,2차 압입송풍기 유량
TE2011_PV,%MW174,WORD,0.0,16000.0,0.0,500.0,1차 압입송풍기 온도
TE2021_PV,%MW175,WORD,0.0,16000.0,0.0,500.0,2차 압입송풍기 온도
TE305_PV,%MW176,WORD,0.0,16000.0,0.0,500.0,보일러 스팀온도
AIT301_PV,%MW177,WORD,0.0,16000.0,0.0,25.0,폐열보일러 O2
PP802A_FBK,%MW178,WORD,0.0,16000.0,0.0,60.0,요소수 인버터 FEEDBACK 주파수
PP802B_FBK,%MW179,WORD,0.0,16000.0,0.0,60.0,요소수 인버터 FEEDBACK 주파수
CV_F502,%MW200,WORD,0.0,16000.0,0.0,60.0,유인송풍기 제어출력
CV_PCV322,%MW202,WORD,0.0,16000.0,0.0,100.0,탈기기 압력 조절밸브 제어출력
CV_LCV322,%MW203,WORD,0.0,16000.0,0.0,100.0,탈기기 수위 조절밸브 제어출력
CV_FCV801,%MW204,WORD,0.0,16000.0,0.0,100.0,요소수공급 조절밸브 제어출력
CV_P317B,%MW205,DWORD,0.0,16000.0,0.0,60.0,보일러 급수펌프-B 제어출력
CV_NV209,%MW206,WORD,0.0,16000.0,0.0,100.0,보조버너 경유공급 제어출력
CV_NV205,%MW207,WORD,0.0,16000.0,0.0,100.0,연소버너 경유공급 제어출력
CV_F315A,%MW208,WORD,0.0,16000.0,0.0,60.0,증기복수기냉각송풍기-A 제어출력
CV_F315B,%MW209,WORD,0.0,16000.0,0.0,60.0,증기복수기냉각송풍기-B 제어출력
CV_F420,%MW210,WORD,0.0,16000.0,0.0,60.0,소석회분말 정량공급기 제어출력
CV_F425,%MW211,WORD,0.0,16000.0,0.0,60.0,활성탄 정량공급기 제어출력
CV_P416A,%MW212,DWORD,0.0,16000.0,0.0,60.0,소석회슬러리 공급펌프-A 제어출력
CV_P416B,%MW213,DWORD,0.0,16000.0,0.0,60.0,소석회슬러리 공급펌프-B 제어출력
CV_P317A,%MW220,DWORD,0.0,16000.0,0.0,60.0,보일러 급수펌프-A 제어출력
CV_TCV301,%MW230,WORD,0.0,16000.0,0.0,100.0,폐열보일러 출구스팀온도 조절밸브 제어출력
CV_TCV302,%MW231,WORD,0.0,16000.0,0.0,100.0,급수열교환기 출구온도 조절댐퍼  제어출력
MODE설정.DP502_CV,%MW232,WORD,0.0,16000.0,0.0,100.0,I.D 송풍기 댐퍼
MODE설정.DP205_CV,%MW233,WORD,0.0,16000.0,0.0,100.0,1차압입송풍기 댐퍼
MODE설정.DP206_CV,%MW234,WORD,0.0,16000.0,0.0,100.0,2차압입송풍기 댐퍼
CV_P802A,%MW235,DWORD,0.0,16000.0,0.0,60.0,요소수 공급펌프-A 제어출력
CV_P802B,%MW236,DWORD,0.0,16000.0,0.0,60.0,요소수 공급펌프-B 제어출력
총투입량,%MW320,WORD,0.0,16000.0,0.0,100.0,총투입량
SV_혼합농도,%MW321,WORD,0.0,4000.0,0.0,25.0,SV_혼합농도
소석회_투입량,%MW322,WORD,0.0,16000.0,0.0,100.0,소석회_투입량
공정수_투입량,%MW323,WORD,0.0,16000.0,0.0,100.0,공정수_투입량
원액비율,%MW324,WORD,0.0,4000.0,0.0,100.0,원액비율
BF_펄싱진행시간,%MW404,WORD,0.0,16000.0,0.0,2100.0,nan
시간설정,%MW410,WORD,0.0,16000.0,0.0,16000.0,nan
시간설정_PV,%MW411,WORD,0.0,16000.0,0.0,16000.0,nan
FIT301_TOT,%MW210,DWORD,0.0,16000.0,0.0,1000000000000.0,보일러급수 유량
FIT403_TOT,%MD211,DWORD,0.0,16000.0,0.0,1000000000000.0,소석회 공급유량
FIT801_TOT,%MD212,DWORD,0.0,16000.0,0.0,1000000000000.0,요소수 공급유량
FIT201_TOT,%MD213,DWORD,0.0,16000.0,0.0,1000000000000.0,1차압입송풍기 유량
FIT202_TOT,%MD214,DWORD,0.0,16000.0,0.0,1000000000000.0,2차압입송풍기 유량
FIT4001_TOT,%MD215,DWORD,0.0,16000.0,0.0,1000000000000.0,가성소다 공급유량
FIT601_TOT,%MD216,DWORD,0.0,16000.0,0.0,1000000000000.0,경유 공급유량
SV_TE304_HH,%MW580,WORD,0.0,16000.0,0.0,500.0,급수열교환기출구온도 H.HIGH SET
SV_TE304_H,%MW581,WORD,0.0,16000.0,0.0,500.0,급수열교환기출구온도 HIGH SET
SV_TE304_L,%MW582,WORD,0.0,16000.0,0.0,500.0,급수열교환기출구온도 LOW SET
SV_TE304_LL,%MW583,WORD,0.0,16000.0,0.0,500.0,급수열교환기출구온도 L.LOW SET
SV_TE305_HH,%MW584,WORD,0.0,16000.0,0.0,500.0,보일러 스팀온도 H.HIGH SET
SV_TE305_H,%MW585,WORD,0.0,16000.0,0.0,500.0,보일러 스팀온도 HIGH SET
SV_TE305_L,%MW586,WORD,0.0,16000.0,0.0,500.0,보일러 스팀온도 LOW SET
SV_TE305_LL,%MW587,WORD,0.0,16000.0,0.0,500.0,보일러 스팀온도 L.LOW SET
SV_TE306_HH,%MW588,WORD,0.0,16000.0,0.0,500.0,폐열보일러출구 스팀온도 H.HIGH SET
SV_TE306_H,%MW589,WORD,0.0,16000.0,0.0,500.0,폐열보일러출구 스팀온도 HIGH SET
SV_TE306_L,%MW590,WORD,0.0,16000.0,0.0,500.0,폐열보일러출구 스팀온도 LOW SET
SV_TE306_LL,%MW591,WORD,0.0,16000.0,0.0,500.0,폐열보일러출구 스팀온도 L.LOW SET
SV_TE201_HH,%MW1000,WORD,0.0,16000.0,0.0,1600.0,소각로내온도 H.HIGH SET
SV_TE201_H,%MW1001,WORD,0.0,16000.0,0.0,1600.0,소각로내온도 HIGH SET
SV_TE201_L,%MW1002,WORD,0.0,16000.0,0.0,1600.0,소각로내온도 LOW SET
SV_TE201_LL,%MW1003,WORD,0.0,16000.0,0.0,1600.0,소각로내온도 L.LOW SET
SV_TE202_HH,%MW1004,WORD,0.0,16000.0,0.0,1600.0,소각로출구온도 H.HIGH SET
SV_TE202_H,%MW1005,WORD,0.0,16000.0,0.0,1600.0,소각로출구온도  HIGH SET
SV_TE202_L,%MW1006,WORD,0.0,16000.0,0.0,1600.0,소각로출구온도 LOW SET
SV_TE202_LL,%MW1007,WORD,0.0,16000.0,0.0,1600.0,소각로출구온도 L.LOW SET
SV_TE301_HH,%MW1008,WORD,0.0,16000.0,0.0,1200.0,폐열보일러출구온도 H.HIGH SET
SV_TE301_H,%MW1009,WORD,0.0,16000.0,0.0,1200.0,폐열보일러출구온도 HIGH SET
SV_TE301_L,%MW1010,WORD,0.0,16000.0,0.0,1200.0,폐열보일러출구온도 LOW SET
SV_TE301_LL,%MW1011,WORD,0.0,16000.0,0.0,1200.0,폐열보일러출구온도 L.LOW SET
SV_TE302_HH,%MW1012,WORD,0.0,16000.0,0.0,1200.0,공기예열기출구온도 H.HIGH SET
SV_TE302_H,%MW1013,WORD,0.0,16000.0,0.0,1200.0,공기예열기출구온도 HIGH SET
SV_TE302_L,%MW1014,WORD,0.0,16000.0,0.0,1200.0,공기예열기출구온도 LOW SET
SV_TE302_LL,%MW1015,WORD,0.0,16000.0,0.0,1200.0,공기예열기출구온도 L.LOW SET
SV_TE303_HH,%MW1016,WORD,0.0,16000.0,0.0,500.0,증기복수기출구온도 H.HIGH SET
SV_TE303_H,%MW1017,WORD,0.0,16000.0,0.0,500.0,증기복수기출구온도 HIGH SET
SV_TE303_L,%MW1018,WORD,0.0,16000.0,0.0,500.0,증기복수기출구온도 LOW SET
SV_TE303_LL,%MW1019,WORD,0.0,16000.0,0.0,500.0,증기복수기출구온도 L.LOW SET
SV_TE402_HH,%MW1020,WORD,0.0,16000.0,0.0,500.0,반건식반응탑출구온도 H.HIGH SET
SV_TE402_H,%MW1021,WORD,0.0,16000.0,0.0,500.0,반건식반응탑출구온도 TE-402 HIGH SET
SV_TE402_L,%MW1022,WORD,0.0,16000.0,0.0,500.0,반건식반응탑출구온도 TE-402 LOW SET
SV_TE402_LL,%MW1023,WORD,0.0,16000.0,0.0,500.0,반건식반응탑출구온도 TE-402 L.LOW SET
SV_TE407_HH,%MW1024,WORD,0.0,16000.0,0.0,1200.0,백필터출구온도 H.HIGH SET
SV_TE407_H,%MW1025,WORD,0.0,16000.0,0.0,1200.0,백필터출구온도 HIGH SET
SV_TE407_L,%MW1026,WORD,0.0,16000.0,0.0,1200.0,백필터출구온도 LOW SET
SV_TE407_LL,%MW1027,WORD,0.0,16000.0,0.0,1200.0,백필터출구온도 L.LOW SET
SV_TE801_HH,%MW1028,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크온도 H.HIGH SET
SV_TE801_H,%MW1029,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크온도 HIGH SET
SV_TE801_L,%MW1030,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크온도 LOW SET
SV_TE801_LL,%MW1031,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크온도 L.LOW SET
SV_PT201_HH,%MW1032,WORD,0.0,16000.0,-100.0,100.0,소각로내압력 H.HIGH SET
SV_PT201_H,%MW1033,WORD,0.0,16000.0,-100.0,100.0,소각로내압력 HIGH SET
SV_PT201_L,%MW1034,WORD,0.0,16000.0,-100.0,100.0,소각로내압력 LOW SET
SV_PT201_LL,%MW1035,WORD,0.0,16000.0,-100.0,100.0,소각로내압력  L.LOW SET
SV_PT301_HH,%MW1036,WORD,0.0,16000.0,0.0,35.0,폐열보일러압력 H.HIGH SET
SV_PT301_H,%MW1037,WORD,0.0,16000.0,0.0,35.0,폐열보일러압력 HIGH SET
SV_PT301_L,%MW1038,WORD,0.0,16000.0,0.0,35.0,폐열보일러압력 LOW SET
SV_PT301_LL,%MW1039,WORD,0.0,16000.0,0.0,35.0,폐열보일러압력 L.LOW SET
SV_PT401_HH,%MW1040,WORD,0.0,16000.0,0.0,15.0,공정수압력 H.HIGH SET
SV_PT401_H,%MW1041,WORD,0.0,16000.0,0.0,15.0,공정수압력 HIGH SET
SV_PT401_L,%MW1042,WORD,0.0,16000.0,0.0,15.0,공정수압력 LOW SET
SV_PT401_LL,%MW1043,WORD,0.0,16000.0,0.0,15.0,공정수압력 L.LOW SET
SV_PDIT401_HH,%MW1044,WORD,0.0,16000.0,0.0,300.0,백필터차압 H.HIGH SET
SV_PDIT401_H,%MW1045,WORD,0.0,16000.0,0.0,300.0,백필터차압 HIGH SET
SV_PDIT401_L,%MW1046,WORD,0.0,16000.0,0.0,300.0,백필터차압  LOW SET
SV_PDIT401_LL,%MW1047,WORD,0.0,16000.0,0.0,300.0,백필터차압 L.LOW SET
SV_LT401_HH,%MW1048,WORD,0.0,16000.0,0.0,100.0,소석회저장탱크레벨 H.HIGH SET
SV_LT401_H,%MW1049,WORD,0.0,16000.0,0.0,100.0,소석회저장탱크레벨 HIGH SET
SV_LT401_L,%MW1050,WORD,0.0,16000.0,0.0,100.0,소석회저장탱크레벨 LOW SET
SV_LT401_LL,%MW1051,WORD,0.0,16000.0,0.0,100.0,소석회저장탱크레벨 L.LOW SET
SV_LT402_HH,%MW1052,WORD,0.0,16000.0,0.0,100.0,소석회혼합탱크레벨 H.HIGH SET
SV_LT402_H,%MW1053,WORD,0.0,16000.0,0.0,100.0,소석회혼합탱크레벨 HIGH SET
SV_LT402_L,%MW1054,WORD,0.0,16000.0,0.0,100.0,소석회혼합탱크레벨 LOW SET
SV_LT402_LL,%MW1055,WORD,0.0,16000.0,0.0,100.0,소석회혼합탱크레벨 L.LOW SET
SV_LT801_HH,%MW1056,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨 H.HIGH SET
SV_LT801_H,%MW1057,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨 HIGH SET
SV_LT801_L,%MW1058,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨 LOW SET
SV_LT801_LL,%MW1059,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨 L.LOW SET
SV_LT601_HH,%MW1060,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨 H.HIGH SET
SV_LT601_H,%MW1061,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨 HIGH SET
SV_LT601_L,%MW1062,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨 LOW SET
SV_LT601_LL,%MW1063,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨 L.LOW SET
SV_LT301_HH,%MW1064,WORD,0.0,16000.0,0.0,100.0,폐열보일러수위레벨 H.HIGH SET
SV_LT301_H,%MW1065,WORD,0.0,16000.0,0.0,100.0,폐열보일러수위레벨 HIGH SET
SV_LT301_L,%MW1066,WORD,0.0,16000.0,0.0,100.0,폐열보일러수위레벨 LOW SET
SV_LT301_LL,%MW1067,WORD,0.0,16000.0,0.0,100.0,폐열보일러수위레벨 L.LOW SET
SV_LT303_HH,%MW1068,WORD,0.0,16000.0,0.0,100.0,보일러용수공급탱크레벨 H.HIGH SET
SV_LT303_H,%MW1069,WORD,0.0,16000.0,0.0,100.0,보일러용수공급탱크레벨 HIGH SET
SV_LT303_L,%MW1070,WORD,0.0,16000.0,0.0,100.0,보일러용수공급탱크레벨 LOW SET
SV_LT303_LL,%MW1071,WORD,0.0,16000.0,0.0,100.0,보일러용수공급탱크레벨 L.LOW SET
SV_F425_H,%MW1072,WORD,0.0,16000.0,0.0,60.0,소석회분말 정량공급인버터 제어출력 HIGH SET
SV_F425_L,%MW1073,WORD,0.0,16000.0,0.0,60.0,소석회분말 정량공급인버터 제어출력 LOW SET
SV_F420_H,%MW1074,WORD,0.0,16000.0,0.0,60.0,활성탄정량공급인버터 제어출력 HIGH SET
SV_F420_L,%MW1075,WORD,0.0,16000.0,0.0,60.0,활성탄정량공급인버터 제어출력 LOW SET
SV_P416A_H,%MW1076,WORD,0.0,16000.0,0.0,2.0,소석회슬러지 공급펌프 A 인버터제어출력 HIGH SET
SV_P416A_L,%MW1077,WORD,0.0,16000.0,0.0,2.0,소석회슬러지 공급펌프 A 인버터제어출력 LOW SET
SV_P416B_H,%MW1078,WORD,0.0,16000.0,0.0,2.0,소석회슬러지 공급펌프 B 인버터제어출력 HIGH SET
SV_P416B_L,%MW1079,WORD,0.0,16000.0,0.0,2.0,소석회슬러지 공급펌프 B 인버터제어출력 LOW SET
C103T1,%MW1080,WORD,0.0,1.0,0.0,20.0,램피더 설정횟수
SV_F502,%MW1081,WORD,0.0,16000.0,-100.0,100.0,유인송풍기전단댐퍼 S.P(소각로내압력)
MV_F502,%MW1082,WORD,0.0,16000.0,0.0,60.0,유인송풍기전단개도 MAN OUT
MVHI_F502,%MW1083,WORD,0.0,16000.0,0.0,60.0,유인송풍기전단댐퍼 조작값 상한
MVLO_F502,%MW1084,WORD,0.0,16000.0,0.0,60.0,유인송풍기전단댐퍼 조작값 하한
P_F502,%MW1085,WORD,0.0,1.0,0.0,10000.0,유인송풍기전단댐퍼 PID-P
I_F502,%MW1086,WORD,0.0,1.0,0.0,30000.0,유인송풍기전단댐퍼 PID-I
D_F502,%MW1087,WORD,0.0,1.0,0.0,30000.0,유인송풍기전단댐퍼 PID-D
SV_TCV301,%MW1088,WORD,0.0,16000.0,0.0,500.0,폐열보일러 출구스팀온도 조절밸브 S.P
MV_TCV301,%MW1089,WORD,0.0,16000.0,0.0,100.0,폐열보일러 출구스팀온도 조절밸브 MAN OUT
MVHI_TCV301,%MW1090,WORD,0.0,16000.0,0.0,100.0,폐열보일러 출구스팀온도 조절밸브 조작값 상한
MVLO_TCV301,%MW1091,WORD,0.0,16000.0,0.0,100.0,폐열보일러 출구스팀온도 조절밸브 조작값 하한
P_TCV301,%MW1092,WORD,0.0,1.0,0.0,10000.0,폐열보일러 출구스팀온도 조절밸브 PID-P
I_TCV301,%MW1093,WORD,0.0,1.0,0.0,30000.0,폐열보일러 출구스팀온도 조절밸브 PID-I
D_TCV301,%MW1094,WORD,0.0,1.0,0.0,30000.0,폐열보일러 출구스팀온도 조절밸브 PID-D
SV_PCV322,%MW1095,WORD,0.0,16000.0,0.0,10.0,탈기기 압력 공급조절밸브 S.P
MV_PCV322,%MW1096,WORD,0.0,16000.0,0.0,100.0,탈기기 압력 공급조절밸브 MAN OUT
MVHI_PCV322,%MW1097,WORD,0.0,16000.0,0.0,100.0,탈기기 압력 공급조절밸브 조작값 상한
MVLO_PCV322,%MW1098,WORD,0.0,16000.0,0.0,100.0,탈기기 압력 공급조절밸브 조작값 하한
P_PCV322,%MW1099,WORD,0.0,10000.0,0.0,10000.0,탈기기 압력 공급조절밸브 PID-P
I_PCV322,%MW1100,WORD,0.0,30000.0,0.0,30000.0,탈기기 압력 공급조절밸브 PID-I
D_PCV322,%MW1101,DWORD,0.0,30000.0,0.0,30000.0,탈기기 압력 공급조절밸브 PID-D
SV_LCV322,%MW1102,WORD,0.0,16000.0,0.0,100.0,탈기기 수위조절밸브 S.P
MV_LCV322,%MW1103,DWORD,0.0,16000.0,0.0,100.0,탈기기 수위조절밸브 MAN OUT
MVHI_LCV322,%MW1104,DWORD,0.0,16000.0,0.0,100.0,탈기기 수위조절밸브 조작값 상한
MVLO_LCV322,%MW1105,DWORD,0.0,16000.0,0.0,100.0,탈기기 수위조절밸브 조작값 하한
P_LCV322,%MW1106,DWORD,0.0,10000.0,0.0,10000.0,탈기기 수위조절밸브 PID-P
I_LCV322,%MW1107,WORD,0.0,30000.0,0.0,30000.0,탈기기 수위조절밸브 PID-I
D_LCV322,%MW1108,WORD,0.0,30000.0,0.0,30000.0,탈기기 수위조절밸브 PID-D
SV_FCV801,%MW1109,WORD,0.0,16000.0,0.0,200.0,요소수 공급조절밸브 S.P
MV_FCV801,%MW1110,WORD,0.0,16000.0,0.0,100.0,요소수 공급조절밸브 MAN OUT
